V_GS,V_DS,I_DS
2.4,0.8,0.123309
2.4,1.0,0.1404234
2.4,1.2,0.1453844
2.4,1.4,0.1452738
2.4,1.6,0.1452573
2.4,1.8,0.1452573
2.4,2.0,0.1452573
2.4,2.2,0.1452573
2.4,2.4,0.1452573
2.4,2.6,0.1452573
2.4,2.8,0.1452573
2.4,3.0,0.1452573
2.4,3.2,0.1452573
2.4,3.4,0.1452573
2.4,3.6,0.1452573
2.4,3.8,0.1452573
2.4,4.0,0.1452573
2.4,4.2,0.1452573
2.4,4.4,0.1452573
2.4,4.600000000000001,0.1452573
2.4,4.800000000000001,0.1452573
2.4,5.0,0.1452573
2.4,5.2,0.1452573
2.4,5.4,0.1452573
2.4,5.600000000000001,0.1452573
2.4,5.800000000000001,0.1452573
2.4,6.0,0.1452573
2.4,6.2,0.1452573
2.4,6.4,0.1452573
2.4,6.600000000000001,0.1452573
2.4,6.800000000000001,0.1452573
2.4,7.0,0.1452573
2.4,7.2,0.1452573
2.4,7.4,0.1452573
2.4,7.600000000000001,0.1452573
2.4,7.800000000000001,0.1452573
2.4,8.0,0.1452573
2.4,8.200000000000001,0.1452573
2.4,8.4,0.1452573
2.4,8.6,0.1452573
2.4,8.8,0.1452573
2.4,9.0,0.1452573
2.4,9.200000000000001,0.1452573
2.4,9.4,0.1452573
2.4,9.600000000000001,0.1452573
2.4,9.8,0.1452573
2.4,10.0,0.1452573
2.6,0.0,-1.527339e-28
2.6,0.2,0.03775465
2.6,0.4,0.07384861
2.6,0.6000000000000001,0.1078042
2.6,0.8,0.1389231
2.6,1.0,0.1661443
2.6,1.2,0.1877459
2.6,1.4,0.2006683
2.6,1.6,0.2024019
2.6,1.8,0.2022871
2.6,2.0,0.2022855
2.6,2.2,0.2022855
2.6,2.4,0.2022855
2.6,2.6,0.2022855
2.6,2.8,0.2022855
2.6,3.0,0.2022855
2.6,3.2,0.2022855
2.6,3.4,0.2022855
2.6,3.6,0.2022855
2.6,3.8,0.2022855
2.6,4.0,0.2022855
2.6,4.2,0.2022855
2.6,4.4,0.2022855
2.6,4.600000000000001,0.2022855
2.6,4.800000000000001,0.2022855
2.6,5.0,0.2022855
2.6,5.2,0.2022855
2.6,5.4,0.2022855
2.6,5.600000000000001,0.2022855
2.6,5.800000000000001,0.2022855
2.6,6.0,0.2022855
2.6,6.2,0.2022855
2.6,6.4,0.2022855
2.6,6.600000000000001,0.2022855
2.6,6.800000000000001,0.2022855
2.6,7.0,0.2022855
2.6,7.2,0.2022855
2.6,7.4,0.2022855
2.6,7.600000000000001,0.2022855
2.6,7.800000000000001,0.2022855
2.6,8.0,0.2022855
2.6,8.200000000000001,0.2022855
2.6,8.4,0.2022855
2.6,8.6,0.2022855
2.6,8.8,0.2022855
2.6,9.0,0.2022855
2.6,9.200000000000001,0.2022855
2.6,9.4,0.2022855
2.6,9.600000000000001,0.2022855
2.6,9.8,0.2022855
2.6,10.0,0.2022855
2.8,0.0,-1.527339e-28
2.8,0.2,0.03921949
2.8,0.4,0.07725826
2.8,0.6000000000000001,0.1138394
2.8,0.8,0.1485848
2.8,1.0,0.1809666
2.8,1.2,0.2102194
2.8,1.4,0.2351776
2.8,1.6,0.2539483
2.8,1.8,0.2631587
2.8,2.0,0.2635216
2.8,2.2,0.2634442
2.8,2.4,0.2634442
2.8,2.6,0.2634442
2.8,2.8,0.2634442
2.8,3.0,0.2634442
2.8,3.2,0.2634442
2.8,3.4,0.2634442
2.8,3.6,0.2634442
2.8,3.8,0.2634442
2.8,4.0,0.2634442
2.8,4.2,0.2634442
2.8,4.4,0.2634442
2.8,4.600000000000001,0.2634442
2.8,4.800000000000001,0.2634442
2.8,5.0,0.2634442
2.8,5.2,0.2634442
2.8,5.4,0.2634442
2.8,5.600000000000001,0.2634442
2.8,5.800000000000001,0.2634442
2.8,6.0,0.2634442
2.8,6.2,0.2634442
2.8,6.4,0.2634442
2.8,6.600000000000001,0.2634442
2.8,6.800000000000001,0.2634442
2.8,7.0,0.2634442
2.8,7.2,0.2634442
2.8,7.4,0.2634442
2.8,7.600000000000001,0.2634442
2.8,7.800000000000001,0.2634442
2.8,8.0,0.2634442
2.8,8.200000000000001,0.2634442
2.8,8.4,0.2634442
2.8,8.6,0.2634442
2.8,8.8,0.2634442
2.8,9.0,0.2634442
2.8,9.200000000000001,0.2634442
2.8,9.4,0.2634442
2.8,9.600000000000001,0.2634442
2.8,9.8,0.2634442
2.8,10.0,0.2634442
3.0,0.0,-1.527339e-28
3.0,0.2,0.04030501
3.0,0.4,0.07972734
3.0,0.6000000000000001,0.1180922
3.0,0.8,0.1551719
3.0,1.0,0.1906658
3.0,1.2,0.2241669
3.0,1.4,0.2551069
3.0,1.6,0.2826626
3.0,1.8,0.3055815
3.0,2.0,0.3218307
3.0,2.2,0.3278701
3.0,2.4,0.3279341
3.0,2.6,0.3278986
3.0,2.8,0.3278986
3.0,3.0,0.3278986
3.0,3.2,0.3278986
3.0,3.4,0.3278986
3.0,3.6,0.3278986
3.0,3.8,0.3278986
3.0,4.0,0.3278986
3.0,4.2,0.3278986
3.0,4.4,0.3278986
3.0,4.600000000000001,0.3278986
3.0,4.800000000000001,0.3278986
3.0,5.0,0.3278986
3.0,5.2,0.3278986
3.0,5.4,0.3278986
3.0,5.600000000000001,0.3278986
3.0,5.800000000000001,0.3278986
3.0,6.0,0.3278986
3.0,6.2,0.3278986
3.0,6.4,0.3278986
3.0,6.600000000000001,0.3278986
3.0,6.800000000000001,0.3278986
3.0,7.0,0.3278986
3.0,7.2,0.3278986
3.0,7.4,0.3278986
3.0,7.600000000000001,0.3278986
3.0,7.800000000000001,0.3278986
3.0,8.0,0.3278986
3.0,8.200000000000001,0.3278986
3.0,8.4,0.3278986
3.0,8.6,0.3278986
3.0,8.8,0.3278986
3.0,9.0,0.3278986
3.0,9.200000000000001,0.3278986
3.0,9.4,0.3278986
3.0,9.600000000000001,0.3278986
3.0,9.8,0.3278986
3.0,10.0,0.3278986
3.2,0.0,-1.527339e-28
3.2,0.2,0.04114178
3.2,0.4,0.08159866
3.2,0.6000000000000001,0.1212533
3.2,0.8,0.1599578
3.2,1.0,0.1975248
3.2,1.2,0.2337121
3.2,1.4,0.2682001
3.2,1.6,0.3005565
3.2,1.8,0.330179
3.2,2.0,0.3561965
3.2,2.2,0.3772863
3.2,2.4,0.3913048
3.2,2.6,0.3951748
3.2,2.8,0.3950792
3.2,3.0,0.3950664
3.2,3.2,0.3950664
3.2,3.4,0.3950664
3.2,3.6,0.3950664
3.2,3.8,0.3950664
3.2,4.0,0.3950664
3.2,4.2,0.3950664
3.2,4.4,0.3950664
